title,author,rating,reviews,price,description,listening time,genre
the alchemist: a fable about following your dream,paulo coelho,4.6,28099.0,10378.0,"by completing your purchase you agree to audible’s  conditions of use, amazon's privacy notice and if applicable audible's recurring payment terms.",4 hours,",#10 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in metaphysical & visionary fiction,#1 in literary fiction,#6 in crime, thriller & mystery (books)"
how to win friends and influence people,dale carnegie,4.5,20872.0,668.0,"how to win friends and influence people is a self-help book which is the pioneer of this genre. written by dale carnegie and published in 1936, it has sold over 30 million copies. it has been edited and re-printed several times.",8 hours and 5 minutes,",#18 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in communication & social skills,#76 in personal development & self-help"
"thinking, fast and slow",daniel kahneman,4.4,9774.0,1093.0,brought to you by penguin.,20 hours and 1 minute,",#13 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in business decision making & problem solving,#3 in psychology (audible audiobooks & originals),#8 in personal success"
sherlock holmes: the definitive collection,arthur conan doyle,5.0,6.0,3037.0,"now updated to include chapter name information, so you can easily find your favourite story or novel",71 hours and 57 minutes,",#15 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in private investigator mysteries,#14 in crime, thriller & mystery (books)"
becoming,michelle obama,4.6,13848.0,1093.0,penguin presents the audiobook edition of becoming by michelle obama.,19 hours and 3 minutes,",#12 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in women biographies,#13 in biographies & autobiographies (books)"
just do it: the nike spirit in the corporate world,donald katz,4.0,37.0,0.0,"the protagonist of just do it is phil knight, a reclusive billionaire who started a two-man operation importing japanese running shoes and built it into a $4 billion company. irreverent, unpredictable, and leery of the sports establishment, knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors reebok and adidas. to outsiders, nike was a cult. insiders believed they were furthering the company's mission: to improve the performance of serious athletes.",14 hours,",#3 free in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in popular culture studies,#1 in biographies of business leaders,#1 in biographies of actors"
the warren buffett way: 3rd edition,robert hagstrom,4.2,72.0,1005.0,"warren buffett remains one of the most sought-after and watched figures in business today. he has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in berkshire hathaway. the first two editions of the warren buffett way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend warren e. buffett. tracing warren buffett's career from the beginning, hagstrom told listeners exactly how, starting with an initial investment of only $100 buffett built a business empire and has an estimated net worth of $44 billion. the third edition of the warren buffett way will focus on the timeless principles and strategies behind buffett's extraordinary investment success. there will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of warren buffett. some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling buffett's success formula in a way that will provide value to listeners for decades to come.",10 hours and 31 minutes,",#17 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in business careers,#1 in biographies of business leaders,#3 in personal finance"
21 lessons for the 21st century,yuval noah harari,4.4,2810.0,1093.0,brought to you by penguin.,11 hours and 41 minutes,",#14 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in political science history & theory,#1 in united states politics & government,#1 in political theory"
secrets of the millionaire mind: mastering the inner game of wealth,t. harv eker,4.6,949.0,10378.0,secrets of the millionaire mind reveals the missing link between wanting success and achieving it!,5 hours and 10 minutes,",#21 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in entrepreneurship (audible audiobooks & originals),#1 in business motivation & self-improvement,#4 in investing & trading"
"let's talk money: you've worked hard for it, now make it work for you",monika halan,4.4,419.0,668.0,"we work hard to earn our money. but regardless of how much we earn, the money worry never goes away. bills, rent, emis, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement.",5 hours and 56 minutes,",#19 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#4 in personal finance,#35 in business & economics,#85 in personal development & self-help"
elon musk,ashlee vance,4.5,6456.0,888.0,brought to you by penguin.,13 hours and 23 minutes,",#23 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in biographies of science & technology leaders,#3 in engineering & technology (books),#3 in biographies of business leaders"
the monk who sold his ferrari,robin sharma,4.6,7573.0,351.0,"author robin sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. this abridged audiobook is one of sharma leadership international's all-time best-selling audio products.",2 hours and 40 minutes,",#22 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in christianity (books),#2 in spirituality (audible audiobooks & originals),#6 in spirituality (books)"
the power of your subconscious mind,joseph murphy,4.5,18330.0,99.0,"""the power of your subconscious mind"" will open a world of success, happiness, prosperity, and peace for you. it is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. the techniques are simple and results come quickly. you can improve your relationships, your finances, your physical well-being.",7 hours and 13 minutes,",#30 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in new thought spirituality,#11 in personal success,#52 in mind, body & spirit"
raavan: enemy of aryavarta,amish tripathi,4.5,4477.0,836.0,"without the darkness, light has no purpose.",11 hours and 32 minutes,",#39 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in fiction sagas,#2 in epic fantasy,#40 in fantasy (books)"
"the power of habit: why we do what we do, and how to change",charles duhigg,4.5,6702.0,888.0,brought to you by penguin.,10 hours and 53 minutes,",#24 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in organisational behaviour,#1 in science,#10 in personal success"
can't hurt me: master your mind and defy the odds,david goggins,4.8,11213.0,836.0,"for david goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. but through self-discipline, mental toughness, and hard work, goggins transformed himself from a depressed, overweight young man with no future into a us armed forces icon and one of the world's top endurance athletes. the only man in history to complete elite training as a navy seal, army ranger, and air force tactical air controller, he went on to set records in numerous endurance events, inspiring outside magazine to name him the fittest (real) man in america.",13 hours and 37 minutes,",#35 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#7 in biographies & memoirs (audible audiobooks & originals),#13 in personal success,#44 in biographies & autobiographies (books)"
zero to one,peter thiel,4.4,5306.0,615.0,"what valuable company is nobody building? the next bill gates will not build an operating system. the next larry page or sergey brin won't make a search engine. if you are copying these guys, you aren't learning from them. it's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar.",4 hours and 50 minutes,",#25 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in business management,#2 in entrepreneurship (audible audiobooks & originals),#2 in organisational behaviour"
my gita,devdutt pattanaik,4.2,1241.0,501.0,"in my gita, acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita for the contemporary reader. his unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible.",6 hours and 15 minutes,",#26 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in philosophy (audible audiobooks & originals),#1 in hinduism (audible audiobooks & originals),#2 in theology & philosophy of religion"
"harry potter and the philosopher's stone, book 1",j.k. rowling,4.7,11864.0,999.0,"""turning the envelope over, his hand trembling, harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'h'.""",9 hours and 33 minutes,",#29 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in family life fiction for children,#1 in fantasy & magic for children,#1 in fiction on friendship for children"
never split the difference: negotiating as if your life depended on it,chris voss,4.7,6440.0,888.0,brought to you by penguin.,8 hours and 7 minutes,",#37 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in meetings & presentations,#1 in negotiating,#1 in forecasting & strategic planning"
chanakya neeti,acharya chanakya,4.4,92.0,668.0,"chanakya was an indian teacher, philosopher, and royal advisor. he managed the first maurya emperor chandragupta’s rise to power at a young age. he is widely credited for having played an important role in the establishment of the maurya empire, which was the first empire in archaeologically recorded history to rule most of the indian subcontinent.",5 hours and 2 minutes,",#28 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#5 in biographies & memoirs (audible audiobooks & originals),#33 in biographies & autobiographies (books)"
the rudest book ever: insanely practical ideas to free your mind from all bulls--t,shwetabh gangwar,4.5,2076.0,501.0,"shwetabh gangwar is a professional problem-solver - and he’s ace at it. for the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",4 hours and 51 minutes,",#44 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in self-esteem,#15 in personal success,#158 in personal development & self-help"
start with why: how great leaders inspire everyone to take action (int'l edit.),simon sinek,4.5,3823.0,820.0,"why are some people and organizations more innovative, more influential, and more profitable than others? why do some command greater loyalty from customers and employees alike? even among the successful, why are so few able to repeat their successes over and over?",7 hours and 12 minutes,",#53 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in leadership,#3 in business motivation & self-improvement,#5 in entrepreneurship (audible audiobooks & originals)"
the tatas: how a family built a business and a nation,girish kuber,4.4,53.0,668.0,winner of the gaja capital business book prize 2019,9 hours and 41 minutes,",#34 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#4 in biographies of business leaders,#42 in biographies & autobiographies (books)"
hyperfocus,chris bailey,4.5,155.0,323.0,"our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",6 hours and 39 minutes,",#31 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in time management,#1 in memory improvement,#1 in time management & productivity"
"limitless: upgrade your brain, learn anything faster, and unlock your exceptional life",jim kwik,4.7,2361.0,750.0,an instant new york times best seller and number one wall street journal best seller,12 hours and 57 minutes,",#36 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in memory improvement,#4 in psychology (audible audiobooks & originals),#14 in personal success"
meri gita,devdutt pattanaik,4.2,129.0,668.0,"in meri gita, acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita for the contemporary listener. his unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.in a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, devdutt highlights how krishna nudges arjuna to understand rather than judge his relationships. this becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) we forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight.",7 hours and 39 minutes,",#40 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in eastern philosophy,#3 in hinduism (audible audiobooks & originals),#3 in christianity (books)"
the unusual billionaires,saurabh mukherjea,4.4,287.0,1005.0,what makes a company truly outstanding?,9 hours and 12 minutes,",#20 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in literary essays,#2 in biographies of business leaders,#8 in essays (books)"
to kill a mockingbird,harper lee,4.5,19930.0,888.0,brought to you by penguin.,-1,-1
a space of her own: personal narratives of twelve women,leela gulati,3.4,9.0,0.0,"focusing on relationships between women of different generations in india, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",11 hours and 11 minutes,",#4 free in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in women biographies,#1 in women's studies,#1 in sociology (audible audiobooks & originals)"
the tales of beedle the bard,j.k. rowling,4.6,3687.0,652.0,"written by j.k. rowling. read by sally mortemore, warwick davis, evanna lynch, jason isaacs, bonnie wright, noma dumezweni and jude law.",1 hour and 35 minutes,",#55 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in action & adventure fiction for teens,#1 in contemporary fantasy,#1 in fairy tale collections & anthologies for children"
no rules rules: netflix and the culture of reinvention,reed hastings,4.1,7.0,888.0,"hard work is irrelevant. be radically honest. adequate performance gets a generous severance. and never, ever try to please your boss. these are some of the ground rules if you work at netflix. they are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a dvd mail-order service into a streaming superpower - with 125 million fervent subscribers and a market capitalisation bigger than disney.",9 hours and 42 minutes,",#27 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in workplace culture,#3 in entrepreneurship (audible audiobooks & originals),#38 in analysis & strategy"
think and grow rich,napoleon hill,4.5,22330.0,166.0,"by completing your purchase you agree to audible’s  conditions of use, amazon's privacy notice and if applicable audible's recurring payment terms.",10 hours and 15 minutes,",#38 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in economics (audible audiobooks & originals),#2 in business motivation & self-improvement,#10 in economics books"
homo deus: a brief history of tomorrow,yuval noah harari,4.5,5304.0,1093.0,brought to you by penguin.,14 hours and 53 minutes,",#47 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in future studies,#2 in anthropology (audible audiobooks & originals),#4 in history (audible audiobooks & originals)"
inglorious empire: what the british did to india,shashi tharoor,4.5,301.0,752.0,"penguin presents the audiobook edition of inglorious empire, written and read by shashi tharoor.",10 hours and 33 minutes,",#33 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in indian history (audible audiobooks & originals),#1 in imperialism,#1 in colonialism & post-colonialism"
hitchhiker's guide to the galaxy,douglas adams,4.5,2449.0,323.0,"a much loved science-fiction classic, this entertaining intergalactic adventure has a lot going for it - including narration by british comedian stephen fry. adams displays his talents for a creating a whole new world in this first of five audiobooks in the hitchhiker's guide to the galaxy series. packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many.",-1,-1
talking to strangers: what we should know about the people we don’t know,malcolm gladwell,4.5,4243.0,1093.0,brought to you by penguin.,8 hours and 42 minutes,",#29 in society & culture (books),#45 in sciences, technology & medicine (books),#164 in personal development & self-help"
"men are from mars, women are from venus: the classic guide to understanding the opposite sex",john gray,4.5,3935.0,13345.0,"sorry, we just need to make sure you're not a robot. for best results, please make sure your browser is accepting cookies.",-1,-1
autobiography of a yogi,paramahansa yogananda,4.6,2233.0,1126.0,"this audio edition, featuring academy award winner ben kingsley's masterful narration, contains the complete text of paramahansa yogananda's life story, an absorbing account of a singular search for truth. yogananda describes his experiences with modern-day saints and illuminated masters of india, and presents a definitive introduction to the whole science and philosophy of yoga.",-1,-1
hit refresh,satya nadella,4.4,837.0,13442.0,"sorry, we just need to make sure you're not a robot. for best results, please make sure your browser is accepting cookies.",-1,-1
free: professional integrity (a riyria chronicles tale),michael j. sullivan,-1.0,,0.0,"oops!
it's rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time.

go to the amazon.in home page to continue shopping",-1,-1
a gentleman in moscow,amor towles,4.6,16239.0,873.0,"oops!
it's rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time.

go to the amazon.in home page to continue shopping",-1,-1
a game of thrones: book 1 of a song of ice and fire,george r. r. martin,4.7,13129.0,18149.0,"sorry, we just need to make sure you're not a robot. for best results, please make sure your browser is accepting cookies.",-1,-1
the 10x rule: the only difference between success and failure,grant cardone,4.6,2706.0,703.0,"sorry, we just need to make sure you're not a robot. for best results, please make sure your browser is accepting cookies.",-1,-1
the hard thing about hard things: building a business when there are no easy answers,ben horowitz,4.6,1884.0,11862.0,"sorry, we just need to make sure you're not a robot. for best results, please make sure your browser is accepting cookies.",-1,-1
the bhagavad gita,eknath easwaran,4.7,1988.0,280.0,"the bhagavad gita, ""the song of the lord"", is the best known of all the indian scriptures, and easwaran's reliable and accessible version has consistently been the best-selling translation. easwaran's introduction places the gita in its historical setting and brings out the universality and timelessness of its teachings. chapter introductions give clear explanations of key concepts in that chapter. to listen to the scripture without the introductions, listeners should start at track 044. the bhagavad gita opens dramatically on a battlefield, as the warrior arjuna turns in anguish to his spiritual guide, sri krishna, for answers to the fundamental questions of life. but as easwaran points out, the gita is not what it seems - it's not a dialogue between two mythical figures at the dawn of indian history. ""the battlefield is a perfect backdrop, but the gita's subject is the war within, the struggle for self-mastery that every human being must wage"" to live a life that is meaningful, fulfilling, and worthwhile. this audio recording is a complete and unabridged reading of eknath easwaran's book the bhagavad gita.",-1,-1
mythos,stephen fry,4.6,2570.0,1093.0,"step into another world - of magic, mayhem, monsters and maniacal gods - in stephen fry’s momentous sunday times best-seller mythos, brought to you by penguin.",-1,-1
take control of your life: how to silence fear and win the mental game,mel robbins,3.9,10.0,1003.0,"sorry, we just need to make sure you're not a robot. for best results, please make sure your browser is accepting cookies.",-1,-1
"harry potter and the order of the phoenix, book 5",j.k. rowling,4.7,5509.0,1599.0,"""'you are sharing the dark lord's thoughts and emotions. the headmaster thinks it inadvisable for this to continue. he wishes me to teach you how to close your mind to the dark lord.'""",30 hours and 18 minutes,",#75 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#4 in family life fiction for children,#4 in fiction on friendship for children,#4 in fiction on orphans & foster homes for children"
"harry potter and the half-blood prince, book 6",j.k. rowling,4.7,7018.0,1599.0,"""there it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark death eaters left behind whenever they had entered a building...wherever they had murdered....""",21 hours and 27 minutes,",#78 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#5 in family life fiction for children,#5 in fiction on friendship for children,#5 in fiction on orphans & foster homes for children"
a suitable boy (dramatised),vikram seth,4.4,544.0,888.0,"sorry, we just need to make sure you're not a robot. for best results, please make sure your browser is accepting cookies.",-1,-1
apke avchetan man ki shakti [the power of your subconscious mind],dr. joseph murphy,4.5,2295.0,668.0,"oops!
it's rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time.

go to the amazon.in home page to continue shopping",-1,-1
"harry potter and the goblet of fire, book 4",j.k. rowling,4.7,5417.0,1599.0,"""'there will be three tasks, spaced throughout the school year, and they will test the champions in many different ways...their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'""",22 hours and 17 minutes,",#46 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in family life fiction for children,#2 in fantasy & magic for children,#2 in fiction on orphans & foster homes for children"
the lean startup: how today's entrepreneurs use continuous innovation to create radically successful businesses,eric ries,4.4,3350.0,1005.0,"most startups fail. but many of those failures are preventable. the lean startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched.",8 hours and 38 minutes,",#116 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in small businesses,#2 in new business enterprises,#7 in business management"
"trading in the zone: master the market with confidence, discipline, and a winning attitude",mark douglas,4.7,1041.0,879.0,"oops!
it's rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time.

go to the amazon.in home page to continue shopping",-1,-1
learn english: word power 101: absolute beginner english #1,innovative language learning,3.6,230.0,0.0,master english with learn english - word power 101. this audiobook is a completely new way to learn english vocabulary fast - and for free! start speaking english in minutes with the powerful learning methods you will master in this book.,37 minutes,",#8 free in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in english language learning"
range: how generalists triumph in a specialized world,david epstein,4.6,1252.0,323.0,"range is the groundbreaking and exhilarating exploration into how to be successful in the 21st century, from david epstein, the acclaimed author of the sports gene.",10 hours and 17 minutes,",#105 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in creativity & genius,#7 in entrepreneurship (audible audiobooks & originals),#18 in personal success in business"
man's search for meaning,viktor e. frankl,4.4,12868.0,468.0,"internationally renowned psychiatrist, viktor e. frankl, endured years of unspeakable horror in nazi death camps. during, and partly because of, his suffering, dr. frankl developed a revolutionary approach to psychotherapy known as logotherapy. at the core of his theory is the belief that man's primary motivational force is his search for meaning.",4 hours and 44 minutes,",#96 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#6 in philosophy (audible audiobooks & originals),#7 in holocaust,#1,058 in textbooks & study guides"
everything is f*cked: a book about hope,mark manson,4.3,2351.0,10378.0,from the author of the international mega-best-seller the subtle art of not giving a f*ck comes a counterintuitive guide to the problems of hope.,7 hours and 2 minutes,",#85 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in satire fiction,#19 in humour (books),#24 in personal success"
the anarchy: the relentless rise of the east india company,william dalrymple,4.6,1367.0,1138.0,"bloomsbury presents the anarchy by william dalrymple, read by sid sagar.",15 hours and 43 minutes,",#84 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in military history (audible audiobooks & originals),#2 in indian history (audible audiobooks & originals),#2 in colonialism & post-colonialism"
the alchemist (hindi edition),paulo coelho,4.4,796.0,668.0,"अंदलुशिया में रहनेवाले एक आम चरवाहे सैंतियागो की ये कहानी स्पेन से होते हुए मिस्र के रेगिस्तान जा पहुँचती है। जादुई रस-विधा, यानी ऐल्केमी, की तलाश में निकला ये युवा लड़का रास्ते में कई ज्ञानी दार्शनिकों और आध्यात्मिक गुरुओं से मिलता है। ज़िन्दगी बदल देनेवाले इस सफ़र की मंज़िल पर चरवाहे लड़के की मुलाक़ात जिस ऐल्केमिस्ट से होती है, वो न सिर्फ़ लड़के की, बल्कि हम सब की ज़िन्दगी बदल देने की काबिलियत रखता है।",6 hours and 36 minutes,",#135 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#5 in literary fiction,#19 in religious & spiritual fiction,#42 in personal development"
the girl on the train,paula hawkins,4.0,70077.0,888.0,"rachel catches the same commuter train every morning. she knows it will wait at the same signal each time, overlooking a row of back gardens. she's even started to feel like she knows the people who live in one of the houses. jess and jason, she calls them. their life - as she sees it - is perfect. if only rachel could be that happy.",10 hours and 57 minutes,",#98 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in psychological thrillers,#2 in crime thrillers,#87 in crime, thriller & mystery (books)"
wings of fire,apj abdul kalam,4.6,70.0,75.0,“we are all born with a divine fire in us. our efforts should be to give wings to this fire”. president kalam’s inspiring autobiography has touched the hearts of people all over the world. the book talks about the his humble beginnings in a small village in tamil nadu and his ascent to one of the most powerful positions in the country.,1 hour and 15 minutes,",#80 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in biographies of presidents & heads of state,#90 in biographies & autobiographies (books)"
"tools of titans: the tactics, routines, and habits of billionaires, icons, and world-class performers",tim ferriss,4.4,3663.0,1506.0,"the latest groundbreaking tome from tim ferriss, the number-one new york times best-selling author of the 4-hour workweek.",22 hours and 41 minutes,",#102 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in developmental psychology (audible audiobooks & originals),#8 in business motivation & self-improvement,#26 in personal success"
a brief history of time: from big bang to black holes,stephen hawking,4.6,5361.0,888.0,brought to you by penguin.,6 hours and 57 minutes,",#87 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in physics (audible audiobooks & originals),#1 in cosmology,#1 in astronomy (audible audiobooks & originals)"
everything is figureoutable: how one simple belief can help us overcome any obstacle and create unstoppable success,marie forleo,4.8,1856.0,888.0,brought to you by penguin.,7 hours and 54 minutes,",#82 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#5 in lifestyle & personal style guides (books),#12 in personal success in business,#23 in personal success"
sochiye aur ameer baniye [think and be rich],napoleon hill,4.5,2.0,836.0,"this is a hindi translation of famous best-selling classic think and grow rich. napoleon hill in this book defines the process by which listeners can achieve not just economic success but success in all aspects of life. he asserts that it is our mind and thoughts that shape our actions and that leads to success or failure in any venture and the author reveals the secret to its reader through this book of how we can give real shape to our dreams and aspiration through right thought, right action and right inspiration. get a copy of this audiobook and embark on an enriching experience that will inspire and motivate you to work hard and achieve your goals.",11 hours and 10 minutes,",#74 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#21 in personal success,#229 in personal development & self-help"
